Criptomoeda,Modelo,Média Retorno (%),Retorno Esperado (%),N dias,Estatística t,p-valor,Rejeita H₀ (médio ≥ x%)
BATUSDT,Linear,0.3031,0.1,1085,5.3414,1.0,Não
BATUSDT,MLP,0.317,0.1,1024,4.9095,1.0,Não
BATUSDT,Polinomial_10,0.2989,0.1,1103,5.2032,1.0,Não
BATUSDT,Polinomial_2,0.3013,0.1,1085,5.1431,1.0,Não
BATUSDT,Polinomial_3,0.2956,0.1,1107,5.1115,1.0,Não
BATUSDT,Polinomial_4,0.3028,0.1,1088,5.2837,1.0,Não
BATUSDT,Polinomial_5,0.3033,0.1,1089,5.3328,1.0,Não
BATUSDT,Polinomial_6,0.2993,0.1,1100,5.191,1.0,Não
BATUSDT,Polinomial_7,0.2996,0.1,1097,5.1517,1.0,Não
BATUSDT,Polinomial_8,0.3004,0.1,1094,5.1663,1.0,Não
BATUSDT,Polinomial_9,0.3011,0.1,1094,5.1695,1.0,Não
BCHUSDT,Linear,0.411,0.1,812,3.5105,0.99976,Não
BCHUSDT,MLP,0.4095,0.1,814,3.6359,0.99985,Não
BCHUSDT,Polinomial_10,0.2237,0.1,1114,1.9331,0.97326,Não
BCHUSDT,Polinomial_2,0.4051,0.1,831,3.5386,0.99979,Não
BCHUSDT,Polinomial_3,0.3836,0.1,877,3.4624,0.99972,Não
BCHUSDT,Polinomial_4,0.386,0.1,875,3.4829,0.99974,Não
BCHUSDT,Polinomial_5,0.3251,0.1,950,2.887,0.99801,Não
BCHUSDT,Polinomial_6,0.3185,0.1,903,2.743,0.9969,Não
BCHUSDT,Polinomial_7,0.3108,0.1,895,2.6296,0.99565,Não
BCHUSDT,Polinomial_8,0.277,0.1,977,2.3719,0.99106,Não
BCHUSDT,Polinomial_9,0.2376,0.1,1086,2.0772,0.98099,Não
BTCUSDT,Linear,0.1818,0.1,1751,2.9922,0.9986,Não
BTCUSDT,MLP,0.1869,0.1,1770,4.3519,0.99999,Não
BTCUSDT,Polinomial_10,0.1059,0.1,2242,0.1722,0.56834,Não
BTCUSDT,Polinomial_2,0.1972,0.1,1674,4.979,1.0,Não
BTCUSDT,Polinomial_3,0.1979,0.1,1701,5.8419,1.0,Não
BTCUSDT,Polinomial_4,0.1713,0.1,1704,1.6651,0.95196,Não
BTCUSDT,Polinomial_5,0.1529,0.1,1784,1.2836,0.90027,Não
BTCUSDT,Polinomial_6,0.1285,0.1,2028,0.7706,0.7795,Não
BTCUSDT,Polinomial_7,0.1103,0.1,2290,0.3099,0.62169,Não
BTCUSDT,Polinomial_8,0.1088,0.1,2259,0.2636,0.60395,Não
BTCUSDT,Polinomial_9,0.1065,0.1,2248,0.1927,0.57638,Não
DASHUSDT,Linear,0.8289,0.1,1631,1.2508,0.89441,Não
DASHUSDT,MLP,0.9107,0.1,1354,1.3435,0.91033,Não
DASHUSDT,Polinomial_10,-3.7531,0.1,2311,-0.9838,0.16267,Não
DASHUSDT,Polinomial_2,1.0778,0.1,1646,1.1766,0.88024,Não
DASHUSDT,Polinomial_3,1.0905,0.1,1627,1.178,0.88052,Não
DASHUSDT,Polinomial_4,0.7314,0.1,1600,1.3354,0.90904,Não
DASHUSDT,Polinomial_5,-5.7069,0.1,1518,-0.9738,0.16514,Não
DASHUSDT,Polinomial_6,-4.6282,0.1,1873,-0.9784,0.16401,Não
DASHUSDT,Polinomial_7,-4.2137,0.1,2058,-0.9808,0.1634,Não
DASHUSDT,Polinomial_8,-4.1434,0.1,2093,-0.9812,0.1633,Não
DASHUSDT,Polinomial_9,-3.882,0.1,2234,-0.9828,0.1629,Não
ETCUSDT,Linear,0.2705,0.1,1321,4.4572,1.0,Não
ETCUSDT,MLP,0.262,0.1,1388,4.2727,0.99999,Não
ETCUSDT,Polinomial_10,0.2131,0.1,1522,1.6063,0.94579,Não
ETCUSDT,Polinomial_2,0.2683,0.1,1353,4.5392,1.0,Não
ETCUSDT,Polinomial_3,0.2706,0.1,1342,4.6141,1.0,Não
ETCUSDT,Polinomial_4,0.2706,0.1,1341,4.5431,1.0,Não
ETCUSDT,Polinomial_5,0.2711,0.1,1338,4.6184,1.0,Não
ETCUSDT,Polinomial_6,0.2695,0.1,1347,4.6744,1.0,Não
ETCUSDT,Polinomial_7,0.2871,0.1,1346,2.3963,0.99165,Não
ETCUSDT,Polinomial_8,0.276,0.1,1359,2.2693,0.9883,Não
ETCUSDT,Polinomial_9,0.2384,0.1,1500,1.9638,0.97513,Não
ETHUSDT,Linear,-0.4628,0.1,1671,-0.305,0.3802,Não
ETHUSDT,MLP,0.2476,0.1,1750,1.9332,0.97331,Não
ETHUSDT,Polinomial_10,0.1739,0.1,2173,1.0397,0.85071,Não
ETHUSDT,Polinomial_2,0.2438,0.1,1658,2.6291,0.99568,Não
ETHUSDT,Polinomial_3,0.2346,0.1,1648,3.6251,0.99985,Não
ETHUSDT,Polinomial_4,0.2389,0.1,1831,1.6555,0.951,Não
ETHUSDT,Polinomial_5,0.2246,0.1,1832,1.4832,0.93091,Não
ETHUSDT,Polinomial_6,0.1994,0.1,1993,1.2854,0.90059,Não
ETHUSDT,Polinomial_7,0.1822,0.1,2131,1.1345,0.87165,Não
ETHUSDT,Polinomial_8,0.1758,0.1,2182,1.0715,0.85798,Não
ETHUSDT,Polinomial_9,0.1741,0.1,2175,1.0432,0.85151,Não
LTCUSDT,Linear,1.2896,0.1,1667,0.9752,0.83521,Não
LTCUSDT,MLP,1.3388,0.1,1609,0.9803,0.83645,Não
LTCUSDT,Polinomial_10,1.3979,0.1,1513,0.9657,0.83283,Não
LTCUSDT,Polinomial_2,0.0751,0.1,1607,-1.9633,0.02489,Sim
LTCUSDT,Polinomial_3,1.3313,0.1,1618,0.9798,0.83634,Não
LTCUSDT,Polinomial_4,1.3296,0.1,1620,0.9796,0.83629,Não
LTCUSDT,Polinomial_5,1.3212,0.1,1630,0.979,0.83613,Não
LTCUSDT,Polinomial_6,1.1363,0.1,1880,0.9581,0.83093,Não
LTCUSDT,Polinomial_7,1.2952,0.1,1638,0.9628,0.83211,Não
LTCUSDT,Polinomial_8,1.4443,0.1,1468,0.9705,0.83402,Não
LTCUSDT,Polinomial_9,1.5037,0.1,1407,0.9713,0.83422,Não
XMRUSDT,Linear,-0.6513,0.1,1755,-0.8058,0.21025,Não
XMRUSDT,MLP,0.3432,0.1,1465,1.9643,0.97516,Não
XMRUSDT,Polinomial_10,0.2692,0.1,1699,1.5087,0.93422,Não
XMRUSDT,Polinomial_2,0.2902,0.1,1718,1.7955,0.96362,Não
XMRUSDT,Polinomial_3,0.2933,0.1,1746,1.812,0.96492,Não
XMRUSDT,Polinomial_4,0.2955,0.1,1739,1.7936,0.96347,Não
XMRUSDT,Polinomial_5,0.2499,0.1,1968,1.5492,0.93926,Não
XMRUSDT,Polinomial_6,0.2636,0.1,1816,1.5602,0.94055,Não
XMRUSDT,Polinomial_7,0.2678,0.1,1775,1.5642,0.94103,Não
XMRUSDT,Polinomial_8,0.2758,0.1,1696,1.5661,0.94124,Não
XMRUSDT,Polinomial_9,0.2925,0.1,1600,1.6175,0.94702,Não
XRPUSDT,Linear,0.7368,0.1,1463,1.0341,0.84937,Não
XRPUSDT,MLP,0.6712,0.1,1634,1.036,0.84983,Não
XRPUSDT,Polinomial_10,0.7381,0.1,1488,1.054,0.85396,Não
XRPUSDT,Polinomial_2,0.738,0.1,1489,1.0545,0.8541,Não
XRPUSDT,Polinomial_3,0.7328,0.1,1499,1.0529,0.85373,Não
XRPUSDT,Polinomial_4,0.7302,0.1,1504,1.0521,0.85353,Não
XRPUSDT,Polinomial_5,0.7487,0.1,1468,1.0571,0.85467,Não
XRPUSDT,Polinomial_6,0.7619,0.1,1445,1.0617,0.85572,Não
XRPUSDT,Polinomial_7,0.7644,0.1,1439,1.0612,0.85561,Não
XRPUSDT,Polinomial_8,0.76,0.1,1448,1.0607,0.85551,Não
XRPUSDT,Polinomial_9,0.763,0.1,1442,1.0612,0.85561,Não
ZRXUSDT,Linear,0.3185,0.1,1059,5.5917,1.0,Não
ZRXUSDT,MLP,0.344,0.1,997,5.1961,1.0,Não
ZRXUSDT,Polinomial_10,0.3225,0.1,1068,5.7293,1.0,Não
ZRXUSDT,Polinomial_2,0.3274,0.1,1053,5.7673,1.0,Não
ZRXUSDT,Polinomial_3,0.3274,0.1,1060,5.8134,1.0,Não
ZRXUSDT,Polinomial_4,0.3238,0.1,1065,5.7322,1.0,Não
ZRXUSDT,Polinomial_5,0.3229,0.1,1069,5.7253,1.0,Não
ZRXUSDT,Polinomial_6,0.3229,0.1,1066,5.7122,1.0,Não
ZRXUSDT,Polinomial_7,0.3244,0.1,1064,5.7385,1.0,Não
ZRXUSDT,Polinomial_8,0.3237,0.1,1066,5.7376,1.0,Não
ZRXUSDT,Polinomial_9,0.324,0.1,1064,5.7484,1.0,Não
